tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
5DKN58,58065871,9,13,CHEV,MD,PULASKI WB @ MORAVIA,30,Red Light Violation,$75.00 ,7/4/2012 23:58,$75.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
5AF5778,79618740,3,13,TOYT,MD,E/S 4534 ERDMAN AVE,26,No Stop/Park Handicap,$502.00 ,7/4/2012 23:53,$502.00 ,,$502.00 ,$0.00 ,,07/18/2012 11:02:00 AM +0000
3AC3617,58065863,7,12,ACUR,MD,LIBERTY EB @ HILLSDALE,30,Red Light Violation,$75.00 ,7/4/2012 23:46,$75.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
2AM6178,79618732,11,13,CHRY,MD,534 ERDMAN AVENUE,26,No Stop/Park Handicap,$502.00 ,7/4/2012 23:44,$502.00 ,,$502.00 ,$0.00 ,,07/13/2012 11:04:00 AM +0000
9DAS03,58065855,6,13,CHEV,MD,HILLEN WB @ FORREST,30,Red Light Violation,$75.00 ,7/4/2012 23:37,$0.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
59907M9,58065848,6,14,NISS,MD,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00 ,7/4/2012 23:36,$75.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
WYJ7303,58065830,2,2,JEEP,VA,FAYETTE WB @ LIBERTY,30,Red Light Violation,$75.00 ,7/4/2012 23:32,$0.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
6AS0597,79618724,6,13,FORD,MD,E/S 4000 EIREMAN AV,99,All Other Stopping or Parking Violations,$32.00 ,7/4/2012 23:25,$32.00 ,,$32.00 ,$0.00 ,,07/18/2012 11:02:00 AM +0000
8AF8979,58065822,3,14,LEXU,MD,NORTHERN EB @ GREENSPRING,30,Red Light Violation,$75.00 ,7/4/2012 23:25,$75.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
1FXF29,58065954,2,14,TOYT,MD,FRANKLIN WB @ CATHEDRAL,30,Red Light Violation,$75.00 ,7/4/2012 23:24,$0.00 ,,$75.00 ,$0.00 ,,07/17/2012 11:02:00 AM +0000
